pty_id,ctr_ccode,lhelc_id,lhelc_date,pty_cab,tier1_avemag,leadact
9008,FIN,9012,1983-03-21,0,13.3,22.58
9008,FIN,9013,1987-03-16,0,13.3,22.58
9008,FIN,9014,1991-03-17,0,13.3,22.58
9008,FIN,9015,1995-03-19,0,13.3,22.58
9008,FIN,9016,1999-03-21,0,13.3,22.58
9008,FIN,9017,2003-03-16,0,13.3,22.58
9008,FIN,9018,2007-03-18,0,13.3,22.58
9003,FIN,9012,1983-03-21,0,13.3,20.01
9003,FIN,9013,1987-03-16,0,13.3,20.01
9003,FIN,9014,1991-03-17,1,13.3,20.01
9003,FIN,9015,1995-03-19,0,13.3,20.01
9003,FIN,9016,1999-03-21,1,13.3,20.01
9003,FIN,9017,2003-03-16,1,13.3,20.01
9003,FIN,9018,2007-03-18,0,13.3,20.01
9004,FIN,9012,1983-03-21,1,13.3,21.43
9004,FIN,9013,1987-03-16,1,13.3,21.43
9004,FIN,9014,1991-03-17,0,13.3,21.43
9004,FIN,9015,1995-03-19,1,13.3,21.43
9004,FIN,9016,1999-03-21,0,13.3,21.43
9004,FIN,9017,2003-03-16,0,13.3,21.43
9004,FIN,9018,2007-03-18,1,13.3,21.43
9007,FIN,9012,1983-03-21,0,13.3,25.03
9007,FIN,9013,1987-03-16,1,13.3,25.03
9007,FIN,9014,1991-03-17,0,13.3,25.03
9007,FIN,9015,1995-03-19,0,13.3,25.03
9007,FIN,9018,2007-03-18,0,13.3,25.03
9005,FIN,9012,1983-03-21,1,13.3,19.1
9005,FIN,9013,1987-03-16,1,13.3,19.1
9005,FIN,9014,1991-03-17,0,13.3,19.1
9005,FIN,9015,1995-03-19,1,13.3,19.1
9005,FIN,9018,2007-03-18,1,13.3,19.1
15027,NLD,15015,1994-05-03,0,150,NA
15027,NLD,15016,1998-05-06,0,150,NA
15027,NLD,15017,2002-05-15,0,150,NA
15027,NLD,15018,2003-01-22,0,150,NA
15027,NLD,15019,2006-11-22,0,150,NA
15027,NLD,15020,2010-06-09,0,NA,NA
15022,NLD,15007,1967-02-15,0,150,10.1
15022,NLD,15008,1971-03-28,0,150,10.1
15022,NLD,15009,1972-11-29,0,150,10.1
15022,NLD,15010,1977-05-25,1,150,10.1
15022,NLD,15011,1981-05-26,0,150,10.1
15022,NLD,15012,1982-09-08,0,150,10.1
15022,NLD,15013,1986-05-21,0,150,10.1
15022,NLD,15014,1989-09-06,0,150,10.1
15022,NLD,15015,1994-05-03,1,150,10.1
15022,NLD,15016,1998-05-06,1,150,10.1
15022,NLD,15017,2002-05-15,1,150,10.1
15022,NLD,15018,2003-01-22,0,150,10.1
15022,NLD,15019,2006-11-22,0,150,10.1
15022,NLD,15020,2010-06-09,1,NA,NA
15020,NLD,15007,1967-02-15,0,150,9.78
15020,NLD,15008,1971-03-28,0,150,9.78
15020,NLD,15009,1972-11-29,0,150,9.78
15020,NLD,15010,1977-05-25,1,150,9.78
15020,NLD,15011,1981-05-26,0,150,9.78
15020,NLD,15012,1982-09-08,1,150,9.78
15020,NLD,15013,1986-05-21,0,150,9.78
15020,NLD,15014,1989-09-06,0,150,9.78
15020,NLD,15015,1994-05-03,0,150,9.78
15020,NLD,15016,1998-05-06,1,150,9.78
15020,NLD,15017,2002-05-15,1,150,9.78
15020,NLD,15018,2003-01-22,0,150,9.78
15020,NLD,15019,2006-11-22,0,150,9.78
15020,NLD,15020,2010-06-09,0,NA,NA
15014,NLD,15007,1967-02-15,0,150,21.03
15014,NLD,15008,1971-03-28,1,150,21.03
15014,NLD,15009,1972-11-29,1,150,21.03
15014,NLD,15010,1977-05-25,0,150,21.03
15014,NLD,15011,1981-05-26,1,150,21.03
15014,NLD,15012,1982-09-08,0,150,21.03
15014,NLD,15013,1986-05-21,1,150,21.03
15014,NLD,15014,1989-09-06,1,150,21.03
15014,NLD,15015,1994-05-03,0,150,21.03
15014,NLD,15016,1998-05-06,1,150,21.03
15014,NLD,15017,2002-05-15,1,150,21.03
15014,NLD,15018,2003-01-22,0,150,21.03
15014,NLD,15019,2006-11-22,1,150,21.03
15014,NLD,15020,2010-06-09,0,NA,NA
15003,NLD,15010,1977-05-25,0,150,22.89
15003,NLD,15011,1981-05-26,1,150,22.89
15003,NLD,15012,1982-09-08,1,150,22.89
15003,NLD,15013,1986-05-21,1,150,22.89
15003,NLD,15014,1989-09-06,1,150,22.89
15003,NLD,15015,1994-05-03,1,150,22.89
15003,NLD,15016,1998-05-06,0,150,22.89
15003,NLD,15017,2002-05-15,0,150,22.89
15003,NLD,15018,2003-01-22,1,150,22.89
15003,NLD,15019,2006-11-22,1,150,22.89
15003,NLD,15020,2010-06-09,1,NA,NA
15033,NLD,15007,1967-02-15,1,150,NA
15033,NLD,15008,1971-03-28,1,150,NA
15001,NLD,15007,1967-02-15,1,150,NA
15001,NLD,15008,1971-03-28,1,150,NA
15002,NLD,15007,1967-02-15,0,150,NA
15002,NLD,15008,1971-03-28,1,150,NA
15007,NLD,15017,2002-05-15,0,150,NA
15007,NLD,15018,2003-01-22,0,150,NA
15007,NLD,15019,2006-11-22,0,150,NA
15007,NLD,15020,2010-06-09,1,NA,NA
15010,NLD,15017,2002-05-15,0,150,NA
15012,NLD,15020,2010-06-09,0,NA,NA
8004,ESP,8001,1977-06-15,0,6.73,15.28
8004,ESP,8002,1979-03-01,0,6.73,15.28
8004,ESP,8003,1982-10-28,0,6.73,15.28
8026,ESP,8004,1986-06-22,0,6.73,15.28
8026,ESP,8005,1989-10-29,0,6.73,15.28
8026,ESP,8006,1993-06-06,0,6.73,15.28
8026,ESP,8007,1996-03-03,0,6.73,15.28
8026,ESP,8008,2000-03-12,0,6.73,15.28
8026,ESP,8009,2004-03-14,0,6.73,15.28
8026,ESP,8010,2008-03-09,0,NA,15.28
8002,ESP,8001,1977-06-15,0,6.73,25.43
8002,ESP,8002,1979-03-01,0,6.73,25.43
8002,ESP,8003,1982-10-28,0,6.73,25.43
8002,ESP,8004,1986-06-22,1,6.73,25.43
8002,ESP,8005,1989-10-29,1,6.73,25.43
8002,ESP,8006,1993-06-06,1,6.73,25.43
8002,ESP,8007,1996-03-03,1,6.73,25.43
8002,ESP,8009,2004-03-14,0,6.73,25.43
8002,ESP,8010,2008-03-09,1,NA,25.43
8001,ESP,8001,1977-06-15,0,6.73,NA
8001,ESP,8002,1979-03-01,1,6.73,NA
8040,ESP,8010,2008-03-09,0,NA,NA
8022,ESP,8003,1982-10-28,0,6.73,15.03
8022,ESP,8004,1986-06-22,0,6.73,15.03
8022,ESP,8005,1989-10-29,0,6.73,15.03
8003,ESP,8001,1977-06-15,0,6.73,24.03
8013,ESP,8002,1979-03-01,0,6.73,24.03
8030,ESP,8005,1989-10-29,0,6.73,24.03
8030,ESP,8006,1993-06-06,0,6.73,24.03
8030,ESP,8007,1996-03-03,0,6.73,24.03
8030,ESP,8008,2000-03-12,1,6.73,24.03
8030,ESP,8009,2004-03-14,1,6.73,24.03
8030,ESP,8010,2008-03-09,0,NA,24.03
8014,ESP,8002,1979-03-01,0,6.73,23.1
8014,ESP,8003,1982-10-28,0,6.73,23.1
8014,ESP,8004,1986-06-22,0,6.73,23.1
8014,ESP,8005,1989-10-29,0,6.73,23.1
8014,ESP,8006,1993-06-06,0,6.73,23.1
8014,ESP,8007,1996-03-03,0,6.73,23.1
8014,ESP,8008,2000-03-12,0,6.73,23.1
8014,ESP,8009,2004-03-14,0,6.73,23.1
8014,ESP,8010,2008-03-09,0,NA,23.1
8011,ESP,8001,1977-06-15,0,6.73,NA
8011,ESP,8002,1979-03-01,0,6.73,NA
8011,ESP,8003,1982-10-28,0,6.73,NA
8011,ESP,8004,1986-06-22,0,6.73,NA
8007,ESP,8001,1977-06-15,0,6.73,12.36
8007,ESP,8002,1979-03-01,0,6.73,12.36
8007,ESP,8003,1982-10-28,0,6.73,12.36
8007,ESP,8004,1986-06-22,0,6.73,12.36
8007,ESP,8005,1989-10-29,0,6.73,12.36
8007,ESP,8006,1993-06-06,0,6.73,12.36
8007,ESP,8009,2004-03-14,0,6.73,12.36
8007,ESP,8010,2008-03-09,0,NA,12.36
8032,ESP,8005,1989-10-29,0,6.73,NA
8020,ESP,8004,1986-06-22,0,6.73,NA
8024,ESP,8002,1979-03-01,0,6.73,NA
8024,ESP,8003,1982-10-28,0,6.73,NA
8024,ESP,8009,2004-03-14,0,6.73,NA
8024,ESP,8010,2008-03-09,0,NA,NA
6006,DEU,6011,1987-01-25,0,1,
6006,DEU,6012,1990-12-02,0,1,
6006,DEU,6013,1994-10-16,0,1,NA
6006,DEU,6014,1998-09-27,0,1,NA
6006,DEU,6015,2002-09-22,1,1,NA
6006,DEU,6016,2005-09-18,1,1,NA
6006,DEU,6017,2009-09-27,0,NA,NA
6007,DEU,6013,1994-10-16,0,1,NA
6007,DEU,6014,1998-09-27,0,1,NA
6007,DEU,6017,2009-09-27,0,NA,NA
6001,DEU,6006,1969-09-28,1,1,15.69
6001,DEU,6007,1972-11-19,1,1,15.69
6001,DEU,6008,1976-10-03,1,1,15.69
6001,DEU,6009,1980-10-05,1,1,15.69
6001,DEU,6010,1983-03-06,0,1,15.69
6001,DEU,6011,1987-01-25,0,1,15.69
6001,DEU,6012,1990-12-02,0,1,15.69
6001,DEU,6013,1994-10-16,0,1,15.69
6001,DEU,6014,1998-09-27,0,1,15.69
6001,DEU,6015,2002-09-22,1,1,15.69
6001,DEU,6016,2005-09-18,1,1,15.69
6001,DEU,6017,2009-09-27,1,NA,15.69
6005,DEU,6006,1969-09-28,0,1,19.19
6005,DEU,6007,1972-11-19,1,1,19.19
6005,DEU,6008,1976-10-03,1,1,19.19
6005,DEU,6009,1980-10-05,1,1,19.19
6005,DEU,6010,1983-03-06,1,1,19.19
6005,DEU,6011,1987-01-25,1,1,19.19
6005,DEU,6012,1990-12-02,1,1,19.19
6005,DEU,6013,1994-10-16,1,1,19.19
6005,DEU,6014,1998-09-27,1,1,19.19
6005,DEU,6015,2002-09-22,0,1,19.19
6005,DEU,6016,2005-09-18,0,1,19.19
6005,DEU,6017,2009-09-27,0,NA,19.19
6004,DEU,6006,1969-09-28,1,1,18.7
6004,DEU,6007,1972-11-19,0,1,18.7
6004,DEU,6008,1976-10-03,0,1,18.7
6004,DEU,6009,1980-10-05,0,1,18.7
6004,DEU,6010,1983-03-06,1,1,18.7
6004,DEU,6011,1987-01-25,1,1,18.7
6004,DEU,6012,1990-12-02,1,1,18.7
6004,DEU,6013,1994-10-16,1,1,18.7
6004,DEU,6014,1998-09-27,1,1,18.7
6004,DEU,6015,2002-09-22,0,1,18.7
6004,DEU,6016,2005-09-18,0,1,18.7
6004,DEU,6017,2009-09-27,1,NA,18.7
2008,AUT,2013,1986-11-23,0,20.33,9.43
2008,AUT,2014,1990-10-07,0,4.26,9.43
2008,AUT,2015,1994-10-09,0,4.26,9.43
2008,AUT,2017,1996-10-13,0,4.26,9.43
2008,AUT,2018,1999-10-03,0,4.26,9.43
2008,AUT,2019,2002-11-24,0,4.26,9.43
2008,AUT,2020,2006-10-01,0,4.26,9.43
2003,AUT,2020,2006-10-01,0,4.26,NA
2002,AUT,2008,1970-03-01,0,20.33,20.98
2002,AUT,2009,1971-10-10,1,20.33,20.98
2002,AUT,2010,1975-10-05,1,20.33,20.98
2002,AUT,2011,1979-05-06,1,20.33,20.98
2002,AUT,2012,1983-04-24,1,20.33,20.98
2002,AUT,2013,1986-11-23,1,20.33,20.98
2002,AUT,2014,1990-10-07,1,4.26,20.98
2002,AUT,2015,1994-10-09,1,4.26,20.98
2002,AUT,2017,1996-10-13,1,4.26,20.98
2002,AUT,2018,1999-10-03,1,4.26,20.98
2002,AUT,2019,2002-11-24,0,4.26,20.98
2002,AUT,2020,2006-10-01,0,4.26,20.98
2007,AUT,2008,1970-03-01,0,20.33,20.65
2007,AUT,2009,1971-10-10,0,20.33,20.65
2007,AUT,2010,1975-10-05,0,20.33,20.65
2007,AUT,2011,1979-05-06,0,20.33,20.65
2007,AUT,2012,1983-04-24,0,20.33,20.65
2007,AUT,2013,1986-11-23,1,20.33,20.65
2007,AUT,2014,1990-10-07,0,4.26,20.65
2007,AUT,2015,1994-10-09,0,4.26,20.65
2007,AUT,2017,1996-10-13,0,4.26,20.65
2007,AUT,2018,1999-10-03,0,4.26,20.65
2007,AUT,2019,2002-11-24,1,4.26,20.65
2007,AUT,2020,2006-10-01,0,4.26,20.65
2009,AUT,2015,1994-10-09,0,4.26,NA
2001,AUT,2008,1970-03-01,1,20.33,18.76
2001,AUT,2009,1971-10-10,0,20.33,18.76
2001,AUT,2010,1975-10-05,0,20.33,18.76
2001,AUT,2011,1979-05-06,0,20.33,18.76
